State,Forecast_Week,Date,Predicted_Sales,Best_Model,MAPE_pct
Alabama,1,2026-05-10,254098633.76,Prophet,18.07
Alabama,2,2026-05-17,242507325.35,Prophet,18.07
Alabama,3,2026-05-24,274511475.43,Prophet,18.07
Alabama,4,2026-05-31,326962475.63,Prophet,18.07
Alabama,5,2026-06-07,350425919.46,Prophet,18.07
Alabama,6,2026-06-14,321180749.62,Prophet,18.07
Alabama,7,2026-06-21,266531811.08,Prophet,18.07
Alabama,8,2026-06-28,235174066.89,Prophet,18.07
Arizona,1,2026-05-10,280189590.52,Prophet,16.04
Arizona,2,2026-05-17,271061246.97,Prophet,16.04
Arizona,3,2026-05-24,311446891.27,Prophet,16.04
Arizona,4,2026-05-31,373202946.0,Prophet,16.04
Arizona,5,2026-06-07,399562113.93,Prophet,16.04
Arizona,6,2026-06-14,364629150.03,Prophet,16.04
Arizona,7,2026-06-21,301178326.19,Prophet,16.04
Arizona,8,2026-06-28,265453514.72,Prophet,16.04
Arkansas,1,2026-05-10,144578848.0,XGBoost,21.04
Arkansas,2,2026-05-17,141708160.0,XGBoost,21.04
Arkansas,3,2026-05-24,144318208.0,XGBoost,21.04
Arkansas,4,2026-05-31,162241152.0,XGBoost,21.04
Arkansas,5,2026-06-07,167167392.0,XGBoost,21.04
Arkansas,6,2026-06-14,147289616.0,XGBoost,21.04
Arkansas,7,2026-06-21,144215744.0,XGBoost,21.04
Arkansas,8,2026-06-28,137100112.0,XGBoost,21.04
California,1,2026-05-10,1057904587.84,Prophet,19.45
California,2,2026-05-17,1018646479.72,Prophet,19.45
California,3,2026-05-24,1169050430.5,Prophet,19.45
California,4,2026-05-31,1398765296.63,Prophet,19.45
California,5,2026-06-07,1491043648.22,Prophet,19.45
California,6,2026-06-14,1352251317.01,Prophet,19.45
California,7,2026-06-21,1112409175.83,Prophet,19.45
California,8,2026-06-28,983878448.8,Prophet,19.45
Colorado,1,2026-05-10,213429615.51,Prophet,18.31
Colorado,2,2026-05-17,204525964.4,Prophet,18.31
Colorado,3,2026-05-24,236846112.93,Prophet,18.31
Colorado,4,2026-05-31,286636758.76,Prophet,18.31
Colorado,5,2026-06-07,307144141.69,Prophet,18.31
Colorado,6,2026-06-14,278475041.06,Prophet,18.31
Colorado,7,2026-06-21,229254835.78,Prophet,18.31
Colorado,8,2026-06-28,205388169.74,Prophet,18.31
Connecticut,1,2026-05-10,118743912.0,XGBoost,15.35
Connecticut,2,2026-05-17,120297216.0,XGBoost,15.35
Connecticut,3,2026-05-24,116441672.0,XGBoost,15.35
Connecticut,4,2026-05-31,124221576.0,XGBoost,15.35
Connecticut,5,2026-06-07,117155952.0,XGBoost,15.35
Connecticut,6,2026-06-14,106961472.0,XGBoost,15.35
Connecticut,7,2026-06-21,99603480.0,XGBoost,15.35
Connecticut,8,2026-06-28,98625048.0,XGBoost,15.35
Florida,1,2026-05-10,988058368.0,XGBoost,16.83
Florida,2,2026-05-17,972334784.0,XGBoost,16.83
Florida,3,2026-05-24,858869504.0,XGBoost,16.83
Florida,4,2026-05-31,869285248.0,XGBoost,16.83
Florida,5,2026-06-07,886440640.0,XGBoost,16.83
Florida,6,2026-06-14,933918784.0,XGBoost,16.83
Florida,7,2026-06-21,928982272.0,XGBoost,16.83
Florida,8,2026-06-28,919516288.0,XGBoost,16.83
Georgia,1,2026-05-10,463924730.03,Prophet,18.36
Georgia,2,2026-05-17,445468917.48,Prophet,18.36
Georgia,3,2026-05-24,505963091.25,Prophet,18.36
Georgia,4,2026-05-31,603123703.98,Prophet,18.36
Georgia,5,2026-06-07,646906040.07,Prophet,18.36
Georgia,6,2026-06-14,593651234.69,Prophet,18.36
Georgia,7,2026-06-21,492722284.82,Prophet,18.36
Georgia,8,2026-06-28,433584563.22,Prophet,18.36
Illinois,1,2026-05-10,395405920.0,XGBoost,22.15
Illinois,2,2026-05-17,398374976.0,XGBoost,22.15
Illinois,3,2026-05-24,411802144.0,XGBoost,22.15
Illinois,4,2026-05-31,440208448.0,XGBoost,22.15
Illinois,5,2026-06-07,414181312.0,XGBoost,22.15
Illinois,6,2026-06-14,385005792.0,XGBoost,22.15
Illinois,7,2026-06-21,399457056.0,XGBoost,22.15
Illinois,8,2026-06-28,388387776.0,XGBoost,22.15
Indiana,1,2026-05-10,296848416.0,XGBoost,19.69
Indiana,2,2026-05-17,301144832.0,XGBoost,19.69
Indiana,3,2026-05-24,302842528.0,XGBoost,19.69
Indiana,4,2026-05-31,299278784.0,XGBoost,19.69
Indiana,5,2026-06-07,306042016.0,XGBoost,19.69
Indiana,6,2026-06-14,273374912.0,XGBoost,19.69
Indiana,7,2026-06-21,267255776.0,XGBoost,19.69
Indiana,8,2026-06-28,256132592.0,XGBoost,19.69
Iowa,1,2026-05-10,153573856.0,XGBoost,13.26
Iowa,2,2026-05-17,169775856.0,XGBoost,13.26
Iowa,3,2026-05-24,170133008.0,XGBoost,13.26
Iowa,4,2026-05-31,175659408.0,XGBoost,13.26
Iowa,5,2026-06-07,165174208.0,XGBoost,13.26
Iowa,6,2026-06-14,153688704.0,XGBoost,13.26
Iowa,7,2026-06-21,154424432.0,XGBoost,13.26
Iowa,8,2026-06-28,148075904.0,XGBoost,13.26
Kansas,1,2026-05-10,117796264.0,XGBoost,16.24
Kansas,2,2026-05-17,112264784.0,XGBoost,16.24
Kansas,3,2026-05-24,115558720.0,XGBoost,16.24
Kansas,4,2026-05-31,127936216.0,XGBoost,16.24
Kansas,5,2026-06-07,125331528.0,XGBoost,16.24
Kansas,6,2026-06-14,120769848.0,XGBoost,16.24
Kansas,7,2026-06-21,121810496.0,XGBoost,16.24
Kansas,8,2026-06-28,119955680.0,XGBoost,16.24
Kentucky,1,2026-05-10,232987184.0,XGBoost,21.19
Kentucky,2,2026-05-17,232524128.0,XGBoost,21.19
Kentucky,3,2026-05-24,230950272.0,XGBoost,21.19
Kentucky,4,2026-05-31,230884960.0,XGBoost,21.19
Kentucky,5,2026-06-07,240243744.0,XGBoost,21.19
Kentucky,6,2026-06-14,218160336.0,XGBoost,21.19
Kentucky,7,2026-06-21,221045376.0,XGBoost,21.19
Kentucky,8,2026-06-28,221387776.0,XGBoost,21.19
Louisiana,1,2026-05-10,221798542.08,Prophet,20.64
Louisiana,2,2026-05-17,211219128.35,Prophet,20.64
Louisiana,3,2026-05-24,239905086.83,Prophet,20.64
Louisiana,4,2026-05-31,286742003.32,Prophet,20.64
Louisiana,5,2026-06-07,306938786.31,Prophet,20.64
Louisiana,6,2026-06-14,279467503.19,Prophet,20.64
Louisiana,7,2026-06-21,229705418.68,Prophet,20.64
Louisiana,8,2026-06-28,201917465.65,Prophet,20.64
Maine,1,2026-05-10,67621240.0,XGBoost,19.9
Maine,2,2026-05-17,59040396.0,XGBoost,19.9
Maine,3,2026-05-24,58457140.0,XGBoost,19.9
Maine,4,2026-05-31,63246536.0,XGBoost,19.9
Maine,5,2026-06-07,66090064.0,XGBoost,19.9
Maine,6,2026-06-14,55567276.0,XGBoost,19.9
Maine,7,2026-06-21,52270936.0,XGBoost,19.9
Maine,8,2026-06-28,52093792.0,XGBoost,19.9
Maryland,1,2026-05-10,217837728.0,XGBoost,15.04
Maryland,2,2026-05-17,215295408.0,XGBoost,15.04
Maryland,3,2026-05-24,212596336.0,XGBoost,15.04
Maryland,4,2026-05-31,225172576.0,XGBoost,15.04
Maryland,5,2026-06-07,241796416.0,XGBoost,15.04
Maryland,6,2026-06-14,214926592.0,XGBoost,15.04
Maryland,7,2026-06-21,214816448.0,XGBoost,15.04
Maryland,8,2026-06-28,207773744.0,XGBoost,15.04
Massachusetts,1,2026-05-10,222878972.01,Prophet,18.84
Massachusetts,2,2026-05-17,211250129.1,Prophet,18.84
Massachusetts,3,2026-05-24,242210260.8,Prophet,18.84
Massachusetts,4,2026-05-31,294251820.64,Prophet,18.84
Massachusetts,5,2026-06-07,319244688.98,Prophet,18.84
Massachusetts,6,2026-06-14,293357337.71,Prophet,18.84
Massachusetts,7,2026-06-21,242816700.05,Prophet,18.84
Massachusetts,8,2026-06-28,215275360.39,Prophet,18.84
Michigan,1,2026-05-10,396222656.0,XGBoost,19.31
Michigan,2,2026-05-17,392252480.0,XGBoost,19.31
Michigan,3,2026-05-24,438056576.0,XGBoost,19.31
Michigan,4,2026-05-31,405761792.0,XGBoost,19.31
Michigan,5,2026-06-07,411027104.0,XGBoost,19.31
Michigan,6,2026-06-14,357765504.0,XGBoost,19.31
Michigan,7,2026-06-21,365283680.0,XGBoost,19.31
Michigan,8,2026-06-28,373769120.0,XGBoost,19.31
Minnesota,1,2026-05-10,190702747.82,Prophet,16.61
Minnesota,2,2026-05-17,183210533.0,Prophet,16.61
Minnesota,3,2026-05-24,210058532.09,Prophet,16.61
Minnesota,4,2026-05-31,252449481.86,Prophet,16.61
Minnesota,5,2026-06-07,271540143.27,Prophet,16.61
