State,Best Model,RMSE,MAE,MAPE%
Alabama,XGBoost,84737678.68598282,71607136.98750003,19.333071170332445
Arizona,XGBoost,77874934.56581165,68530226.07083333,17.117032753307505
Arkansas,XGBoost,36058083.43195792,33200505.01666665,17.207063897148743
California,Prophet,403820366.13904786,325722511.71794045,20.840752400850864
Colorado,Prophet,77983097.85678256,62671918.111894906,19.976767206653346
Connecticut,XGBoost,25974530.104005557,20893272.71249999,13.194304242838435
Florida,XGBoost,302671429.6851315,276832354.92499995,20.552215543638567
Georgia,XGBoost,160131384.36561963,136115486.325,19.839037990232097
Illinois,XGBoost,129186879.00796936,116045716.42916659,20.266404627250104
Indiana,XGBoost,89807548.5158091,81319723.47916669,20.59983557608954
Iowa,XGBoost,31253980.305448987,26687222.22916666,12.912249120267482
Kansas,XGBoost,24800555.43819809,21540096.25833334,13.450065198361866
Kentucky,Prophet,69143729.35271691,53425062.381659985,17.47738063663214
Louisiana,Prophet,80070948.48768973,63412592.60600181,19.30482521320187
Maine,XGBoost,16435140.671670534,13663323.2,16.017710146417812
Maryland,XGBoost,50432009.45067813,45333903.725000024,15.844224580207783
Massachusetts,XGBoost,69141752.64452992,60564770.62083333,18.338659113765402
Michigan,Prophet,125549889.6541827,101142113.74214534,19.586570076410506
Minnesota,XGBoost,62768298.369109504,46068968.51666671,16.002719451472945
Mississippi,XGBoost,47424730.52922976,38381764.64583333,17.175306122908996
Missouri,XGBoost,77795181.98431744,67751896.15,19.79624694328371
Nebraska,XGBoost,16014761.010172516,14436536.233333334,13.479038233871282
Nevada,XGBoost,39707453.53991575,34818416.53749998,19.040445783527005
New Hampshire,XGBoost,22821047.72731882,19807734.825000003,19.760105779083293
New Mexico,XGBoost,21878646.81891652,19123925.020833343,14.72283247743106
New York,XGBoost,176732680.7443296,163219348.66250005,21.263307377825747
North Carolina,XGBoost,153135563.99695063,132558945.57916667,20.747001445335034
Ohio,XGBoost,152822491.91609848,135831102.47499996,20.591057099271676
Oklahoma,XGBoost,50164620.23863757,47075543.36250001,18.563284890176057
Oregon,XGBoost,31916260.76497616,28235721.05416668,14.09684586859597
Pennsylvania,XGBoost,146826095.44286823,129161532.85833335,19.867541387216196
Rhode Island,XGBoost,8063722.778203618,6885506.970833336,14.760327206434509
South Carolina,XGBoost,48916169.98021854,43951639.02083334,13.096650288677822
South Dakota,XGBoost,10225331.691057026,9273711.525000002,18.391573230661
Tennessee,Prophet,114882871.58469944,92853873.06735295,20.251299556886025
Texas,XGBoost,372507392.5862444,339420210.1458333,21.272544775070674
Utah,XGBoost,27742315.591354772,24618261.258333325,16.369468314087168
Vermont,XGBoost,5170933.938241696,3861745.5375000024,11.63227139571382
Virginia,XGBoost,96221917.97665471,84501485.56249997,16.29553877470068
Washington,XGBoost,71009331.65869762,59767957.85833335,17.81386785644426
West Virginia,XGBoost,20802328.597214974,18642740.466666654,14.089970820206965
Wisconsin,Prophet,63303593.537654005,50178527.97030267,18.149438832432217
Wyoming,XGBoost,6955112.8108643945,5144500.587500002,13.134322603074072
