State,Best Model,RMSE,MAE,MAPE%
Alabama,Prophet,85223077.01332411,66151515.37171307,18.06719981437389
Arizona,Prophet,86080672.82348934,64254193.35636343,16.042975075208552
Arkansas,XGBoost,47155372.065526485,41450851.01666665,21.036957363446668
California,Prophet,386512472.5217028,304973910.1460754,19.450836446946685
Colorado,Prophet,74121192.05879717,57611699.65268409,18.305792655000868
Connecticut,XGBoost,29116873.484171044,24177380.71249999,15.352684385846816
Florida,XGBoost,254713247.23272872,228839562.92499998,16.832554896704032
Georgia,Prophet,159589999.6876525,124359151.63188049,18.364701134228696
Illinois,XGBoost,136761133.01673564,125468616.42916659,22.148765327965442
Indiana,XGBoost,88218151.80051994,78183151.47916669,19.689297778402537
Iowa,XGBoost,31468598.955666125,27266230.22916666,13.25631154073884
Kansas,XGBoost,27905591.303622354,25330105.25833334,16.236054024382273
Kentucky,XGBoost,73601716.5139775,65244536.662500024,21.194859435076342
Louisiana,Prophet,83627103.9372315,67637960.94366686,20.643727918770026
Maine,XGBoost,18808564.097664826,16719588.2,19.90424131273642
Maryland,XGBoost,48765809.582852304,43542009.725000024,15.04287583399177
Massachusetts,Prophet,77467607.71319278,61700551.91093623,18.836958706821587
Michigan,XGBoost,125391924.84521484,102783936.90416667,19.313236589050526
Minnesota,Prophet,59079249.2458542,45676711.18844037,16.610259328849548
Mississippi,XGBoost,49269606.741087034,41728522.64583333,18.92446042341777
Missouri,XGBoost,76520222.7109555,72317826.15,21.51305570238925
Nebraska,XGBoost,17232226.599750046,15418340.233333334,14.441030023419534
Nevada,XGBoost,41274435.29101928,35832311.53749998,19.41024443375926
New Hampshire,XGBoost,21787631.373911142,18848847.825000003,18.743216772262574
New Mexico,XGBoost,23394331.724683154,21685471.020833343,16.98452050338848
New York,XGBoost,162790849.11064938,146541064.66250005,18.837725984858647
North Carolina,XGBoost,150743708.08879358,137334533.57916665,21.676762739245106
Ohio,XGBoost,155184901.30786467,141135774.47499996,21.39979907911854
Oklahoma,XGBoost,51996641.77638563,48494295.36250001,18.903951045022566
Oregon,XGBoost,36537549.655336164,32539605.05416668,16.129604151106356
Pennsylvania,XGBoost,148336080.39104125,131019344.82916668,20.11494226582267
Rhode Island,XGBoost,9582718.55658327,9002026.970833335,19.778580149630336
South Carolina,XGBoost,63079841.236287385,58826131.02083334,17.496111240488034
South Dakota,XGBoost,10177385.11012524,9186916.525000002,18.145369815045868
Tennessee,XGBoost,108088061.69467293,99362069.45416668,21.762964568094205
Texas,XGBoost,306849182.27830493,270448546.1458333,16.762327461683864
Utah,XGBoost,33312869.23359138,30168166.258333325,20.1965613079749
Vermont,XGBoost,5219134.959995463,4216557.512500003,12.803647550996121
Virginia,XGBoost,107437328.79504372,98932337.56249997,19.341430357582144
Washington,Prophet,74126366.4463528,57503219.23648693,17.41227922686752
West Virginia,XGBoost,27028904.335911192,24226093.466666654,18.316427495676415
Wisconsin,XGBoost,61335223.69409089,52024882.17083332,18.42534685035234
Wyoming,XGBoost,7513289.050132686,6525161.087500002,17.231294198445713
